ibge_municipio,ubs_in_operational_source,active_ubs_cnes_st,ubs_with_recent_sia_production,active_ubs_with_recent_sia_production,sia_record_rows,sia_quantity_all_procedures,sia_approved_value,sia_competence_observations,populacao_residente,sia_reporting_coverage_pct,sia_quantity_all_procedures_per_1000,sia_quantity_per_reporting_ubs,production_interpretation,consultation_specific_status
312733,3,3,3,3,465,3024.0,24508.51000000003,3,4793.0,100.0,630.9200918005424,1008.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312735,2,2,0,0,0,0.0,0.0,0,2928.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312737,3,2,2,2,4785,7712.0,24592.16000000004,2,2830.0,100.0,2725.0883392226146,3856.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312738,4,4,0,0,0,0.0,0.0,0,4053.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312740,2,2,1,1,444,1559.0,8054.38000000006,1,4727.0,50.0,329.80748889359,1559.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312750,2,2,2,2,420,2668.0,18228.749999999938,2,5230.0,100.0,510.1338432122371,1334.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312760,6,6,2,2,617,3536.0,19613.30000000005,2,11331.0,33.33333333333333,312.06424852175445,1768.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312770,68,49,4,4,13,64.0,0.0,4,257171.0,8.16326530612245,0.24886165236360244,16.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312780,6,5,2,2,63,444.0,13671.73,2,13901.0,40.0,31.940148190777645,222.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312790,1,1,0,0,0,0.0,0.0,0,1392.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312800,15,14,0,0,0,0.0,0.0,0,32244.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312810,7,5,5,5,2745,19747.0,19918.3600000002,5,13772.0,100.0,1433.8512924774907,3949.4,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312820,6,5,1,1,1022,5273.0,28554.97000000024,1,9753.0,20.0,540.6541576950682,5273.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312825,3,2,1,1,182,567.0,2510.979999999991,1,5051.0,50.0,112.25499901009701,567.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312830,10,10,1,1,22,22.0,4950.0,1,19150.0,10.0,1.1488250652741514,22.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312840,3,3,3,3,1468,7127.0,46168.700000000215,3,7714.0,100.0,923.9045890588541,2375.6666666666665,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312850,1,1,1,1,199,528.0,0.0,1,3149.0,100.0,167.6722769133058,528.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312860,3,3,1,1,10,21.0,210.0,1,6539.0,33.33333333333333,3.2115002293928736,21.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312870,10,10,0,0,0,0.0,0.0,0,50911.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312880,3,3,2,2,997,7524.0,42347.91000000009,2,7131.0,66.66666666666666,1055.1114850652084,3762.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312890,5,5,0,0,0,0.0,0.0,0,8478.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312900,4,2,2,2,378,4927.0,13537.729999999992,2,7778.0,100.0,633.4533299048599,2463.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312910,3,3,1,1,734,3255.0,20621.250000000025,1,5192.0,33.33333333333333,626.9260400616333,3255.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312920,3,3,0,0,0,0.0,0.0,0,6134.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312930,2,2,2,2,817,3117.0,23124.090000000077,2,12030.0,100.0,259.1022443890275,1558.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
