origin_id,ibge_municipio_7,municipio_nome,uf_sigla,origin_latitude,origin_longitude,origin_population,origin_population_status,origin_source,origin_granularity,source_year,representative_point_method,precision_status,sector_situation
520010010000013,5200100,Abadiânia,52,-16.045349080345723,-48.87989271056743,239,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010010000014,5200100,Abadiânia,52,-16.106249919282273,-48.8767283115219,26,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010010000015,5200100,Abadiânia,52,-16.15901429333716,-48.917860833450916,434,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010010000016,5200100,Abadiânia,52,-16.176916939193053,-48.90889459997092,50,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520013405000001,5200134,Acreúna,52,-17.398815027727238,-50.375245271398214,584,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000002,5200134,Acreúna,52,-17.402707787906056,-50.377163140508266,537,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000003,5200134,Acreúna,52,-17.40024381189678,-50.38012833682474,609,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000004,5200134,Acreúna,52,-17.402792266369232,-50.38287987076595,669,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000005,5200134,Acreúna,52,-17.400043199954872,-50.38526095024814,546,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000006,5200134,Acreúna,52,-17.397261752786125,-50.382887185607395,573,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
