competencia_cnes,regiao_aps,uf_sigla,estado_nome,municipio_nome_aps,ibge_municipio,aps_populacao,qt_esf,qt_eap_20hs,qt_eap_30hs,qt_ecr,qt_cadastro_ecr,qt_eapp_20hs,qt_cadastro_eapp_20hs,qt_eapp_30hs,qt_cadastro_eapp_30hs,qt_esfr,qt_cadastro_esfr,qt_cadastros_ecr_eapp,aps_capacidade_equipe,cobertura_aps_pct,municipio_key
01/2021,SUDESTE,MG,MINAS GERAIS,PIMENTA,315050,8688.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,120.85,pimenta
01/2021,SUDESTE,MG,MINAS GERAIS,PINGO-D'ÁGUA,315053,4986.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,140.39,pingo_d_agua
01/2021,SUDESTE,MG,MINAS GERAIS,PINTÓPOLIS,315057,7524.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,186.07,pintopolis
01/2021,SUDESTE,MG,MINAS GERAIS,PIRACEMA,315060,6398.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,164.11,piracema
01/2021,SUDESTE,MG,MINAS GERAIS,PIRAJUBA,315070,6348.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,55.13,pirajuba
01/2021,SUDESTE,MG,MINAS GERAIS,PIRANGA,315080,17634.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24500.0,138.93,piranga
01/2021,SUDESTE,MG,MINAS GERAIS,PIRANGUÇU,315090,5488.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,63.77,pirangucu
01/2021,SUDESTE,MG,MINAS GERAIS,PIRANGUINHO,315100,8640.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,162.03,piranguinho
01/2021,SUDESTE,MG,MINAS GERAIS,PIRAPETINGA,315110,10772.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,129.96,pirapetinga
01/2021,SUDESTE,MG,MINAS GERAIS,PIRAPORA,315120,56640.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59500.0,105.04,pirapora
01/2021,SUDESTE,MG,MINAS GERAIS,PIRAÚBA,315130,10759.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,162.65,pirauba
01/2021,SUDESTE,MG,MINAS GERAIS,PITANGUI,315140,28215.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24500.0,86.83,pitangui
01/2021,SUDESTE,MG,MINAS GERAIS,PIUMHI,315150,34918.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38500.0,110.25,piumhi
01/2021,SUDESTE,MG,MINAS GERAIS,PLANURA,315160,12292.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,85.42,planura
01/2021,SUDESTE,MG,MINAS GERAIS,POÇO FUNDO,315170,16846.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24500.0,145.43,poco_fundo
01/2021,SUDESTE,MG,MINAS GERAIS,POÇOS DE CALDAS,315180,168641.0,36.0,0.0,0.0,1.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,133000.0,78.86,pocos_de_caldas
01/2021,SUDESTE,MG,MINAS GERAIS,POCRANE,315190,8359.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,125.61,pocrane
01/2021,SUDESTE,MG,MINAS GERAIS,POMPÉU,315200,32035.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,98.32,pompeu
01/2021,SUDESTE,MG,MINAS GERAIS,PONTE NOVA,315210,59875.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50750.0,84.75,ponte_nova
