ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,populacao_residente,telemedicine_precision_index,phase5_precision_rank,phase2_rank_balanced,phase2_need_pillar,phase2_feasibility_pillar,phase5_spatial_precision_mismatch_score,phase5_weighted_p90_ubs_km,phase5_population_share_pharmacy_le_2km,phase5_population_share_hard_ubs_easy_pharmacy,phase5_precision_status,phase5_evidence_grade
350320,3503208,Araraquara,SP,242228.0,75.84594744960017,40.0,31.0,87.28789743769134,67.91298956958506,67.43616226098987,0.5123249959348796,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
353080,3530805,Mogi Mirim,SP,92558.0,75.83474333700713,41.0,50.0,80.60944889016137,69.13876382270833,73.91199360944256,1.002966659838102,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
520800,5208004,Formosa,GO,115901.0,75.81483884324072,42.0,82.0,80.74261253716175,71.70847670446054,72.17902687225883,2.0239384522184456,0.4163725938516492,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
355620,3556206,Valinhos,SP,126373.0,75.78825407932904,43.0,37.0,91.26080958945936,57.759185746812925,69.70838034971474,0.6004961990507622,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
354880,3548807,São Caetano do Sul,SP,165655.0,75.69342166569245,44.0,49.0,79.20553540727907,72.94304644471903,72.93201183778218,0.8383444402295216,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
354780,3547809,Santo André,SP,748919.0,75.66803453051261,45.0,55.0,94.76289528631892,61.398182886940425,63.84487114469225,0.4169215302460208,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
355410,3554102,Taubaté,SP,310739.0,75.56849914933599,46.0,51.0,91.6718264133934,49.79455740719093,74.81610037610731,1.3291005523764643,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
410430,4104303,Campo Mourão,PR,99432.0,75.42751671410127,47.0,36.0,77.60613326121162,72.22580810170432,74.54089326387236,1.1652831467313056,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
431140,4311403,Lajeado,RS,93646.0,75.19435303013785,48.0,42.0,73.58929808347476,78.24066614171447,75.57488433905698,2.1427974984634486,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
352940,3529401,Mauá,SP,418261.0,75.18727840290828,49.0,40.0,89.90252371881759,57.61058761605453,69.56947597243182,0.5951247635119024,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
355650,3556503,Várzea Paulista,SP,115771.0,75.09187243699049,50.0,46.0,89.31397169796078,58.16253864629544,69.5255409472948,0.5941641014187187,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
350760,3507605,Bragança Paulista,SP,176811.0,74.99359810328366,51.0,66.0,81.69408167601208,62.28153177334943,74.7021404862123,1.266111352601258,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
