ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,phase2_eligibility,phase2_mc_score_median,phase2_mc_rank_median,phase2_mc_rank_p05,phase2_mc_rank_p95,phase2_mc_probability_top_decile
355450,3554508,Tietê,SP,eligible_phase2_geodesic_proxy,69.2638931274414,172.0,146.0,210.0,1.0
353800,3538006,Pindamonhangaba,SP,eligible_phase2_geodesic_proxy,69.0789794921875,175.0,123.0,253.0500030517578,1.0
316930,3169307,Três Corações,MG,eligible_phase2_geodesic_proxy,69.05157470703125,175.0,137.0,221.0,1.0
317120,3171204,Vespasiano,MG,eligible_phase2_geodesic_proxy,69.08781433105469,176.0,160.0,200.0,1.0
330340,3303401,Nova Friburgo,RJ,eligible_phase2_geodesic_proxy,68.88868713378906,178.0,112.0,255.0,1.0
431740,4317400,Santiago,RS,eligible_phase2_geodesic_proxy,68.73854064941406,179.5,114.0,236.0,1.0
431490,4314902,Porto Alegre,RS,eligible_phase2_geodesic_proxy,68.72499084472656,180.0,143.0,227.0,1.0
261160,2611606,Recife,PE,eligible_phase2_geodesic_proxy,68.78643035888672,180.0,115.0,278.0,1.0
421620,4216206,São Francisco do Sul,SC,eligible_phase2_geodesic_proxy,68.70892333984375,180.0,105.0,260.0,1.0
353470,3534708,Ourinhos,SP,eligible_phase2_geodesic_proxy,68.6288070678711,181.0,149.0,228.0,1.0
521150,5211503,Itumbiara,GO,eligible_phase2_geodesic_proxy,68.62981414794922,182.0,82.0,288.0,1.0
351930,3519303,Ibaté,SP,eligible_phase2_geodesic_proxy,68.56266784667969,183.0,159.0,216.0,1.0
351960,3519600,Ibitinga,SP,eligible_phase2_geodesic_proxy,68.33131408691406,184.0,127.0,258.04998779296875,1.0
411580,4115804,Medianeira,PR,eligible_phase2_geodesic_proxy,68.492431640625,184.0,96.0,263.0,1.0
350410,3504107,Atibaia,SP,eligible_phase2_geodesic_proxy,68.21379089355469,185.0,135.0,253.0500030517578,1.0
351300,3513009,Cotia,SP,eligible_phase2_geodesic_proxy,68.30266571044922,186.0,79.94999694824219,321.04998779296875,1.0
354850,3548500,Santos,SP,eligible_phase2_geodesic_proxy,68.36711120605469,186.0,117.94999694824219,267.04998779296875,1.0
355060,3550605,São Roque,SP,eligible_phase2_geodesic_proxy,68.47328186035156,186.0,167.0,213.0,1.0
291920,2919207,Lauro de Freitas,BA,eligible_phase2_geodesic_proxy,68.23714447021484,187.0,85.0,328.1000061035156,1.0
