ibge_municipio_7,municipio_nome_ibge_seat,uf_sigla_ibge_seat,seat_latitude,seat_longitude,seat_category,seat_subcategory
1501402,Belém,PA,-1.4554,-48.5051,Cidade,Sede Municipal
1501451,Belterra,PA,-2.6376,-54.9423,Cidade,Sede Municipal
1501501,Benevides,PA,-1.3608,-48.2434,Cidade,Sede Municipal
1501576,Bom Jesus do Tocantins,PA,-5.0485,-48.607,Cidade,Sede Municipal
1501600,Bonito,PA,-1.3628,-47.3059,Cidade,Sede Municipal
1501709,Bragança,PA,-1.0673,-46.7621,Cidade,Sede Municipal
1501725,Brasil Novo,PA,-3.3028,-52.5403,Cidade,Sede Municipal
1501758,Brejo Grande do Araguaia,PA,-5.7042,-48.4065,Cidade,Sede Municipal
1501782,Breu Branco,PA,-3.7779,-49.5691,Cidade,Sede Municipal
1501808,Breves,PA,-1.6913,-50.4831,Cidade,Sede Municipal
1501907,Bujaru,PA,-1.5151,-48.0464,Cidade,Sede Municipal
1501956,Cachoeira do Piriá,PA,-1.7584,-46.5439,Cidade,Sede Municipal
1502004,Cachoeira do Arari,PA,-1.0098,-48.9612,Cidade,Sede Municipal
1502103,Cametá,PA,-2.2431,-49.4979,Cidade,Sede Municipal
1502152,Canaã dos Carajás,PA,-6.5318,-49.8498,Cidade,Sede Municipal
1502202,Capanema,PA,-1.194,-47.1788,Cidade,Sede Municipal
1502301,Capitão Poço,PA,-1.7449,-47.0644,Cidade,Sede Municipal
1502400,Castanhal,PA,-1.2941,-47.9264,Cidade,Sede Municipal
1502509,Chaves,PA,-0.1644,-49.9815,Cidade,Sede Municipal
1502608,Colares,PA,-0.9305,-48.2885,Cidade,Sede Municipal
1502707,Conceição do Araguaia,PA,-8.2712,-49.2705,Cidade,Sede Municipal
1502756,Concórdia do Pará,PA,-1.9941,-47.9454,Cidade,Sede Municipal
1502764,Cumaru do Norte,PA,-7.8105,-50.7656,Cidade,Sede Municipal
1502772,Curionópolis,PA,-6.098,-49.6049,Cidade,Sede Municipal
1502806,Curralinho,PA,-1.8141,-49.7978,Cidade,Sede Municipal
1502855,Curuá,PA,-1.8885,-55.1192,Cidade,Sede Municipal
1502905,Curuçá,PA,-0.7298,-47.849,Cidade,Sede Municipal
1502939,Dom Eliseu,PA,-4.299,-47.5557,Cidade,Sede Municipal
1502954,Eldorado do Carajás,PA,-6.1032,-49.3719,Cidade,Sede Municipal
1503002,Faro,PA,-2.1744,-56.7467,Cidade,Sede Municipal
1503044,Floresta do Araguaia,PA,-7.5627,-49.7058,Cidade,Sede Municipal
1503077,Garrafão do Norte,PA,-1.9368,-47.0463,Cidade,Sede Municipal
1503093,Goianésia do Pará,PA,-3.8385,-49.0992,Cidade,Sede Municipal
1503101,Gurupá,PA,-1.4068,-51.648,Cidade,Sede Municipal
1503200,Igarapé-Açu,PA,-1.1279,-47.6244,Cidade,Sede Municipal
1503309,Igarapé-Miri,PA,-1.9727,-48.9623,Cidade,Sede Municipal
1503408,Inhangapi,PA,-1.4308,-47.9101,Cidade,Sede Municipal
1503457,Ipixuna do Pará,PA,-2.5546,-47.4952,Cidade,Sede Municipal
1503507,Irituia,PA,-1.7711,-47.4373,Cidade,Sede Municipal
1503606,Itaituba,PA,-4.2775,-55.9873,Cidade,Sede Municipal
1503705,Itupiranga,PA,-5.1345,-49.3281,Cidade,Sede Municipal
1503754,Jacareacanga,PA,-6.2221,-57.7564,Cidade,Sede Municipal
1503804,Jacundá,PA,-4.4476,-49.1122,Cidade,Sede Municipal
1503903,Juruti,PA,-2.158,-56.0948,Cidade,Sede Municipal
1504000,Limoeiro do Ajuru,PA,-1.8948,-49.3812,Cidade,Sede Municipal
1504059,Mãe do Rio,PA,-2.0543,-47.5456,Cidade,Sede Municipal
1504109,Magalhães Barata,PA,-0.7947,-47.5989,Cidade,Sede Municipal
1504208,Marabá,PA,-5.3478,-49.0984,Cidade,Sede Municipal
1504307,Maracanã,PA,-0.763,-47.4564,Cidade,Sede Municipal
1504406,Marapanim,PA,-0.7163,-47.6993,Cidade,Sede Municipal
1504422,Marituba,PA,-1.3646,-48.3368,Cidade,Sede Municipal
1504455,Medicilândia,PA,-3.4465,-52.8895,Cidade,Sede Municipal
1504505,Melgaço,PA,-1.8072,-50.7129,Cidade,Sede Municipal
1504604,Mocajuba,PA,-2.5819,-49.5102,Cidade,Sede Municipal
