osm_feature_id,osm_type,osm_id,name,operator,brand,latitude,longitude,source,valid_coordinates
node/5369032532,node,5369032532,Drogaria Xavier Molina,,,-23.562517,-46.6210593,OpenStreetMap amenity=pharmacy,True
node/5369184515,node,5369184515,Farmácia Pública Municipal,,,-28.645236,-53.6034372,OpenStreetMap amenity=pharmacy,True
node/5369342904,node,5369342904,Breves,,,-15.8615566,-48.0753824,OpenStreetMap amenity=pharmacy,True
node/5370842921,node,5370842921,Drogarias Pacheco,,,-15.7556745,-47.887733,OpenStreetMap amenity=pharmacy,True
node/5372640909,node,5372640909,Reni Farmácias,,Famácias Associadas,-29.6819951,-53.8086099,OpenStreetMap amenity=pharmacy,True
node/5373733086,node,5373733086,São José,,,-20.3637428,-41.2461272,OpenStreetMap amenity=pharmacy,True
node/5375604332,node,5375604332,Saúde vital,,,-4.3154749,-46.4605649,OpenStreetMap amenity=pharmacy,True
node/5375604333,node,5375604333,Farmácia Allax,,,-4.3154321,-46.4607098,OpenStreetMap amenity=pharmacy,True
node/5380220575,node,5380220575,Drogaria Lida,,,-19.7923099,-42.1515197,OpenStreetMap amenity=pharmacy,True
node/5380943436,node,5380943436,,,,-5.8498023,-35.2060066,OpenStreetMap amenity=pharmacy,True
node/5380982096,node,5380982096,Droga Raia,,Droga Raia,-23.5529559,-46.6520147,OpenStreetMap amenity=pharmacy,True
node/5382680423,node,5382680423,DrogaBrasil,,DrogariaBrasil,-15.7986432,-47.9354287,OpenStreetMap amenity=pharmacy,True
node/5383008165,node,5383008165,,,,-20.1847692,-44.7712902,OpenStreetMap amenity=pharmacy,True
node/5383172121,node,5383172121,,,,-26.7026611,-48.6826574,OpenStreetMap amenity=pharmacy,True
node/5387173293,node,5387173293,Farmácia dos Municípios,,,-7.7505271,-37.6374863,OpenStreetMap amenity=pharmacy,True
node/5387489981,node,5387489981,São João,,São João,-29.7290155,-51.1516672,OpenStreetMap amenity=pharmacy,True
node/5391166697,node,5391166697,Drogaria,,,-22.0571421,-46.9785979,OpenStreetMap amenity=pharmacy,True
node/5391414668,node,5391414668,,,,-24.2352661,-46.9014439,OpenStreetMap amenity=pharmacy,True
node/5392739323,node,5392739323,Fórmula Certa Farmácia de Manipulação,,,-26.4801928,-49.0816523,OpenStreetMap amenity=pharmacy,True
node/5392836121,node,5392836121,Farmácia Ultrafarma,,,-26.4811109,-49.0831669,OpenStreetMap amenity=pharmacy,True
node/5393902559,node,5393902559,Farma Flora,,,-12.5473561,-38.7107111,OpenStreetMap amenity=pharmacy,True
node/5395972435,node,5395972435,Farmácia Popular,,,-26.4834495,-49.0828422,OpenStreetMap amenity=pharmacy,True
node/5403399905,node,5403399905,Drogaria Central,,,-22.4118277,-42.965775,OpenStreetMap amenity=pharmacy,True
node/5405344196,node,5405344196,Farmácia Santra Cara,,,-3.3511866,-40.4654521,OpenStreetMap amenity=pharmacy,True
node/5405432268,node,5405432268,Agafarma,,Agafarma,-29.98018,-51.1903298,OpenStreetMap amenity=pharmacy,True
